SEMMEDDB Subject Code	SEMMEDDB Subject T code	SEMMEDDB Predicate	SEMMEDDB Object Code	SEMMEDDB Object T code	Notes
T058	hlca	AFFECTS			Domain exclusion
T120	chvf	AFFECTS			Domain exclusion
T122	bodm	AFFECTS			Domain exclusion
T065	edac	AFFECTS			Domain exclusion
T103	chem	AFFECTS			Domain exclusion
T050	emod	AFFECTS			Domain exclusion
T089	rnlw	AFFECTS			Domain exclusion
T053	bhvr	AFFECTS			Domain exclusion
T041	menp	AFFECTS			Domain exclusion
T054	socb	AFFECTS			Domain exclusion
T059	lbpr	AFFECTS			Domain exclusion
T081	qnco	AFFECTS			Domain exclusion
T170	inpr	AFFECTS			Domain exclusion
T067	phpr	AFFECTS			Domain exclusion
T062	resa	AFFECTS			Domain exclusion
T079	tmco	AFFECTS			Domain exclusion
T063	mbrt	AFFECTS			Domain exclusion
T073	mnob	AFFECTS			Domain exclusion
T201	clna	AFFECTS			Domain exclusion
T051	evnt	AFFECTS			Domain exclusion
T201	clna	ASSOCIATED_WITH			Domain exclusion
T120	chvf	ASSOCIATED_WITH			Domain exclusion
T080	qlco	ASSOCIATED_WITH			Domain exclusion
T081	qnco	ASSOCIATED_WITH			Domain exclusion
T015	mamm	ASSOCIATED_WITH			Domain exclusion
T104	chvs	ASSOCIATED_WITH			Domain exclusion
T096	grup	ASSOCIATED_WITH			Domain exclusion
T041	menp	ASSOCIATED_WITH			Domain exclusion
T103	chem	ASSOCIATED_WITH			Domain exclusion
T098	popg	ASSOCIATED_WITH			Domain exclusion
T082	spco	ASSOCIATED_WITH			Domain exclusion
T013	fish	ASSOCIATED_WITH			Domain exclusion
T008	anim	ASSOCIATED_WITH			Domain exclusion
T078	idcn	ASSOCIATED_WITH			Domain exclusion
T063	mbrt	ASSOCIATED_WITH			Domain exclusion
T079	tmco	ASSOCIATED_WITH			Domain exclusion
T012	bird	ASSOCIATED_WITH			Domain exclusion
T103	chem	AUGMENTS			Domain exclusion
T120	chvf	AUGMENTS			Domain exclusion
T104	chvs	AUGMENTS			Domain exclusion
T073	mnob	AUGMENTS			Domain exclusion
T045	genf	CAUSES			Domain exclusion
T033	fndg	CAUSES			Domain exclusion
T067	phpr	CAUSES			Domain exclusion
T120	chvf	CAUSES			Domain exclusion
T104	chvs	CAUSES			Domain exclusion
T075	resd	CAUSES			Domain exclusion
T103	chem	CAUSES			Domain exclusion
T070	npop	CAUSES			Domain exclusion
T073	mnob	CAUSES			Domain exclusion
T170	inpr	CAUSES			Domain exclusion
T096	grup	CAUSES			Domain exclusion
T015	mamm	CAUSES			Domain exclusion
T078	idcn	CAUSES			Domain exclusion
T100	aggp	CAUSES			Domain exclusion
T062	resa	CAUSES			Domain exclusion
T059	lbpr	CAUSES			Domain exclusion
T013	fish	CAUSES			Domain exclusion
T050	emod	CAUSES			Domain exclusion
T098	popg	CAUSES			Domain exclusion
T008	anim	CAUSES			Domain exclusion
T054	socb	CAUSES			Domain exclusion
T082	spco	CAUSES			Domain exclusion
T201	clna	CAUSES			Domain exclusion
T099	famg	CAUSES			Domain exclusion
T058	hlca	COEXISTS_WITH			Domain exclusion
T059	lbpr	COEXISTS_WITH			Domain exclusion
T104	chvs	COEXISTS_WITH			Domain exclusion
T074	medd	COEXISTS_WITH			Domain exclusion
T120	chvf	COEXISTS_WITH			Domain exclusion
T054	socb	COEXISTS_WITH			Domain exclusion
T079	tmco	COEXISTS_WITH			Domain exclusion
T065	edac	COEXISTS_WITH			Domain exclusion
T041	menp	COEXISTS_WITH			Domain exclusion
T201	clna	COEXISTS_WITH			Domain exclusion
T073	mnob	COEXISTS_WITH			Domain exclusion
T169	ftcn	COEXISTS_WITH			Domain exclusion
T062	resa	COEXISTS_WITH			Domain exclusion
T063	mbrt	COEXISTS_WITH			Domain exclusion
T078	idcn	COEXISTS_WITH			Domain exclusion
T080	qlco	COEXISTS_WITH			Domain exclusion
T103	chem	COEXISTS_WITH			Domain exclusion
T185	clas	COEXISTS_WITH			Domain exclusion
T104	chvs	compared_with			Domain exclusion
T120	chvf	compared_with			Domain exclusion
T062	resa	compared_with			Domain exclusion
T103	chem	compared_with			Domain exclusion
T081	qnco	compared_with			Domain exclusion
T170	inpr	compared_with			Domain exclusion
T079	tmco	compared_with			Domain exclusion
T080	qlco	compared_with			Domain exclusion
T073	mnob	compared_with			Domain exclusion
T059	lbpr	compared_with			Domain exclusion
T083	geoa	compared_with			Domain exclusion
T169	ftcn	compared_with			Domain exclusion
T082	spco	compared_with			Domain exclusion
T171	lang	compared_with			Domain exclusion
T098	popg	compared_with			Domain exclusion
T201	clna	compared_with			Domain exclusion
T041	menp	compared_with			Domain exclusion
T063	mbrt	compared_with			Domain exclusion
T185	clas	compared_with			Domain exclusion
T058	hlca	compared_with			Domain exclusion
T070	npop	compared_with			Domain exclusion
T092	orgt	compared_with			Domain exclusion
T093	hcro	compared_with			Domain exclusion
T097	prog	compared_with			Domain exclusion
T052	acty	compared_with			Domain exclusion
T078	idcn	compared_with			Domain exclusion
T075	resd	compared_with			Domain exclusion
T077	cnce	compared_with			Domain exclusion
T065	edac	compared_with			Domain exclusion
T099	famg	compared_with			Domain exclusion
T013	fish	compared_with			Domain exclusion
T104	chvs	COMPLICATES			Domain exclusion
T104	chvs	CONVERTS_TO			Domain exclusion
T120	chvf	CONVERTS_TO			Domain exclusion
T059	lbpr	DIAGNOSES			Domain exclusion
T097	prog	DIAGNOSES			Domain exclusion
T063	mbrt	DIAGNOSES			Domain exclusion
T016	humn	DIAGNOSES			Domain exclusion
T170	inpr	DIAGNOSES			Domain exclusion
T081	qnco	DIAGNOSES			Domain exclusion
T062	resa	DIAGNOSES			Domain exclusion
T070	npop	DIAGNOSES			Domain exclusion
T078	idcn	DIAGNOSES			Domain exclusion
T098	popg	DIAGNOSES			Domain exclusion
T058	hlca	DIAGNOSES			Domain exclusion
T045	genf	DISRUPTS			Domain exclusion
T120	chvf	DISRUPTS			Domain exclusion
T191	neop	DISRUPTS			Domain exclusion
T104	chvs	DISRUPTS			Domain exclusion
T033	fndg	DISRUPTS			Domain exclusion
T062	resa	DISRUPTS			Domain exclusion
T073	mnob	DISRUPTS			Domain exclusion
T104	chvs	higher_than			Domain exclusion
T120	chvf	higher_than			Domain exclusion
T062	resa	higher_than			Domain exclusion
T103	chem	higher_than			Domain exclusion
T081	qnco	higher_than			Domain exclusion
T170	inpr	higher_than			Domain exclusion
T079	tmco	higher_than			Domain exclusion
T169	ftcn	higher_than			Domain exclusion
T073	mnob	higher_than			Domain exclusion
T059	lbpr	higher_than			Domain exclusion
T080	qlco	higher_than			Domain exclusion
T083	geoa	higher_than			Domain exclusion
T058	hlca	higher_than			Domain exclusion
T052	acty	higher_than			Domain exclusion
T171	lang	higher_than			Domain exclusion
T041	menp	higher_than			Domain exclusion
T063	mbrt	higher_than			Domain exclusion
T098	popg	higher_than			Domain exclusion
T082	spco	higher_than			Domain exclusion
T185	clas	higher_than			Domain exclusion
T201	clna	higher_than			Domain exclusion
T099	famg	higher_than			Domain exclusion
T120	chvf	INHIBITS			Domain exclusion
T104	chvs	INHIBITS			Domain exclusion
T104	chvs	INTERACTS_WITH			Domain exclusion
T103	chem	INTERACTS_WITH			Domain exclusion
T120	chvf	INTERACTS_WITH			Domain exclusion
T099	famg	INTERACTS_WITH			Domain exclusion
T098	popg	INTERACTS_WITH			Domain exclusion
T008	anim	INTERACTS_WITH			Domain exclusion
T201	clna	INTERACTS_WITH			Domain exclusion
T097	prog	INTERACTS_WITH			Domain exclusion
T013	fish	INTERACTS_WITH			Domain exclusion
T016	humn	INTERACTS_WITH			Domain exclusion
T101	podg	INTERACTS_WITH			Domain exclusion
T015	mamm	INTERACTS_WITH			Domain exclusion
T096	grup	INTERACTS_WITH			Domain exclusion
T011	amph	INTERACTS_WITH			Domain exclusion
T014	rept	INTERACTS_WITH			Domain exclusion
T010	vtbt	INTERACTS_WITH			Domain exclusion
T012	bird	INTERACTS_WITH			Domain exclusion
T168	food	INTERACTS_WITH			Domain exclusion
T100	aggp	INTERACTS_WITH			Domain exclusion
T061	topp	INTERACTS_WITH			Domain exclusion
T073	mnob	INTERACTS_WITH			Domain exclusion
T074	medd	INTERACTS_WITH			Domain exclusion
T069	eehu	INTERACTS_WITH			Domain exclusion
T041	menp	INTERACTS_WITH			Domain exclusion
T085	mosq	INTERACTS_WITH			Domain exclusion
T098	popg	ISA			Domain exclusion
T015	mamm	ISA			Domain exclusion
T059	lbpr	ISA			Domain exclusion
T101	podg	ISA			Domain exclusion
T013	fish	ISA			Domain exclusion
T073	mnob	ISA			Domain exclusion
T070	npop	ISA			Domain exclusion
T058	hlca	ISA			Domain exclusion
T083	geoa	ISA			Domain exclusion
T041	menp	ISA			Domain exclusion
T096	grup	ISA			Domain exclusion
T097	prog	ISA			Domain exclusion
T054	socb	ISA			Domain exclusion
T099	famg	ISA			Domain exclusion
T012	bird	ISA			Domain exclusion
T091	bmod	ISA			Domain exclusion
T014	rept	ISA			Domain exclusion
T011	amph	ISA			Domain exclusion
T065	edac	ISA			Domain exclusion
T120	chvf	ISA			Domain exclusion
T067	phpr	ISA			Domain exclusion
T090	ocdi	ISA			Domain exclusion
T104	chvs	ISA			Domain exclusion
T093	hcro	ISA			Domain exclusion
T201	clna	ISA			Domain exclusion
T008	anim	ISA			Domain exclusion
T092	orgt	ISA			Domain exclusion
T057	ocac	ISA			Domain exclusion
T103	chem	ISA			Domain exclusion
T010	vtbt	ISA			Domain exclusion
T052	acty	ISA			Domain exclusion
T053	bhvr	ISA			Domain exclusion
T064	gora	ISA			Domain exclusion
T094	pros	ISA			Domain exclusion
T072	phob	ISA			Domain exclusion
T066	mcha	ISA			Domain exclusion
T062	resa	ISA			Domain exclusion
T095	shro	ISA			Domain exclusion
T051	evnt	ISA			Domain exclusion
T075	resd	ISA			Domain exclusion
T185	clas	ISA			Domain exclusion
T085	mosq	ISA			Domain exclusion
T078	idcn	ISA			Domain exclusion
T016	humn	LOCATION_OF			Domain exclusion
T093	hcro	LOCATION_OF			Domain exclusion
T082	spco	LOCATION_OF			Domain exclusion
T015	mamm	LOCATION_OF			Domain exclusion
T092	orgt	LOCATION_OF			Domain exclusion
T008	anim	LOCATION_OF			Domain exclusion
T098	popg	LOCATION_OF			Domain exclusion
T010	vtbt	LOCATION_OF			Domain exclusion
T100	aggp	LOCATION_OF			Domain exclusion
T101	podg	LOCATION_OF			Domain exclusion
T073	mnob	LOCATION_OF			Domain exclusion
T021	ffas	LOCATION_OF			Domain exclusion
T095	shro	LOCATION_OF			Domain exclusion
T096	grup	LOCATION_OF			Domain exclusion
T099	famg	LOCATION_OF			Domain exclusion
T094	pros	LOCATION_OF			Domain exclusion
T050	emod	LOCATION_OF			Domain exclusion
T097	prog	LOCATION_OF			Domain exclusion
T123	bacs	LOCATION_OF			Domain exclusion
T013	fish	LOCATION_OF			Domain exclusion
T012	bird	LOCATION_OF			Domain exclusion
T170	inpr	LOCATION_OF			Domain exclusion
T121	phsu	LOCATION_OF			Domain exclusion
T011	amph	LOCATION_OF			Domain exclusion
T114	nnon	LOCATION_OF			Domain exclusion
T047	dsyn	LOCATION_OF			Domain exclusion
T014	rept	LOCATION_OF			Domain exclusion
T169	ftcn	LOCATION_OF			Domain exclusion
T078	idcn	LOCATION_OF			Domain exclusion
T085	mosq	LOCATION_OF			Domain exclusion
T120	chvf	lower_than			Domain exclusion
T104	chvs	lower_than			Domain exclusion
T103	chem	lower_than			Domain exclusion
T062	resa	lower_than			Domain exclusion
T081	qnco	lower_than			Domain exclusion
T059	lbpr	lower_than			Domain exclusion
T073	mnob	lower_than			Domain exclusion
T169	ftcn	lower_than			Domain exclusion
T082	spco	lower_than			Domain exclusion
T079	tmco	lower_than			Domain exclusion
T053	bhvr	MANIFESTATION_OF			Domain exclusion
T081	qnco	MANIFESTATION_OF			Domain exclusion
T080	qlco	MANIFESTATION_OF			Domain exclusion
T054	socb	MANIFESTATION_OF			Domain exclusion
T081	qnco	MEASUREMENT_OF			Domain exclusion
T201	clna	MEASUREMENT_OF			Domain exclusion
T059	lbpr	MEASURES			Domain exclusion
T062	resa	MEASURES			Domain exclusion
T063	mbrt	MEASURES			Domain exclusion
T170	inpr	MEASURES			Domain exclusion
T081	qnco	MEASURES			Domain exclusion
T070	npop	MEASURES			Domain exclusion
T080	qlco	MEASURES			Domain exclusion
T058	hlca	MEASURES			Domain exclusion
T059	lbpr	METHOD_OF			Domain exclusion
T058	hlca	METHOD_OF			Domain exclusion
T063	mbrt	METHOD_OF			Domain exclusion
T062	resa	METHOD_OF			Domain exclusion
T066	mcha	METHOD_OF			Domain exclusion
T057	ocac	METHOD_OF			Domain exclusion
T065	edac	METHOD_OF			Domain exclusion
T064	gora	METHOD_OF			Domain exclusion
T170	inpr	METHOD_OF			Domain exclusion
T070	npop	METHOD_OF			Domain exclusion
T081	qnco	METHOD_OF			Domain exclusion
T073	mnob	METHOD_OF			Domain exclusion
T104	chvs	METHOD_OF			Domain exclusion
T120	chvf	METHOD_OF			Domain exclusion
T089	rnlw	METHOD_OF			Domain exclusion
T058	hlca	NEG_ADMINISTERED_TO			Domain exclusion
T059	lbpr	NEG_ADMINISTERED_TO			Domain exclusion
T170	inpr	NEG_ADMINISTERED_TO			Domain exclusion
T062	resa	NEG_ADMINISTERED_TO			Domain exclusion
T065	edac	NEG_ADMINISTERED_TO			Domain exclusion
T070	npop	NEG_AFFECTS			Domain exclusion
T120	chvf	NEG_AFFECTS			Domain exclusion
T104	chvs	NEG_AFFECTS			Domain exclusion
T058	hlca	NEG_AFFECTS			Domain exclusion
T103	chem	NEG_AFFECTS			Domain exclusion
T065	edac	NEG_AFFECTS			Domain exclusion
T089	rnlw	NEG_AFFECTS			Domain exclusion
T053	bhvr	NEG_AFFECTS			Domain exclusion
T041	menp	NEG_AFFECTS			Domain exclusion
T170	inpr	NEG_AFFECTS			Domain exclusion
T067	phpr	NEG_AFFECTS			Domain exclusion
T054	socb	NEG_AFFECTS			Domain exclusion
T059	lbpr	NEG_AFFECTS			Domain exclusion
T073	mnob	NEG_AFFECTS			Domain exclusion
T081	qnco	NEG_AFFECTS			Domain exclusion
T062	resa	NEG_AFFECTS			Domain exclusion
T201	clna	NEG_ASSOCIATED_WITH			Domain exclusion
T120	chvf	NEG_ASSOCIATED_WITH			Domain exclusion
T081	qnco	NEG_ASSOCIATED_WITH			Domain exclusion
T096	grup	NEG_ASSOCIATED_WITH			Domain exclusion
T103	chem	NEG_AUGMENTS			Domain exclusion
T120	chvf	NEG_AUGMENTS			Domain exclusion
T120	chvf	NEG_CAUSES			Domain exclusion
T104	chvs	NEG_CAUSES			Domain exclusion
T067	phpr	NEG_CAUSES			Domain exclusion
T075	resd	NEG_CAUSES			Domain exclusion
T103	chem	NEG_CAUSES			Domain exclusion
T070	npop	NEG_CAUSES			Domain exclusion
T096	grup	NEG_CAUSES			Domain exclusion
T073	mnob	NEG_CAUSES			Domain exclusion
T058	hlca	NEG_COEXISTS_WITH			Domain exclusion
T059	lbpr	NEG_COEXISTS_WITH			Domain exclusion
T079	tmco	NEG_COEXISTS_WITH			Domain exclusion
T054	socb	NEG_COEXISTS_WITH			Domain exclusion
T120	chvf	NEG_COEXISTS_WITH			Domain exclusion
T041	menp	NEG_COEXISTS_WITH			Domain exclusion
T063	mbrt	NEG_COEXISTS_WITH			Domain exclusion
T065	edac	NEG_COEXISTS_WITH			Domain exclusion
T059	lbpr	NEG_DIAGNOSES			Domain exclusion
T097	prog	NEG_DIAGNOSES			Domain exclusion
T063	mbrt	NEG_DIAGNOSES			Domain exclusion
T016	humn	NEG_DIAGNOSES			Domain exclusion
T081	qnco	NEG_DIAGNOSES			Domain exclusion
T170	inpr	NEG_DIAGNOSES			Domain exclusion
T062	resa	NEG_DIAGNOSES			Domain exclusion
T120	chvf	NEG_DISRUPTS			Domain exclusion
T104	chvs	NEG_DISRUPTS			Domain exclusion
T120	chvf	NEG_higher_than			Domain exclusion
T104	chvs	NEG_higher_than			Domain exclusion
T062	resa	NEG_higher_than			Domain exclusion
T103	chem	NEG_higher_than			Domain exclusion
T073	mnob	NEG_higher_than			Domain exclusion
T080	qlco	NEG_higher_than			Domain exclusion
T081	qnco	NEG_higher_than			Domain exclusion
T120	chvf	NEG_INHIBITS			Domain exclusion
T104	chvs	NEG_INHIBITS			Domain exclusion
T104	chvs	NEG_INTERACTS_WITH			Domain exclusion
T120	chvf	NEG_INTERACTS_WITH			Domain exclusion
T103	chem	NEG_INTERACTS_WITH			Domain exclusion
T099	famg	NEG_INTERACTS_WITH			Domain exclusion
T201	clna	NEG_INTERACTS_WITH			Domain exclusion
T008	anim	NEG_INTERACTS_WITH			Domain exclusion
T098	popg	NEG_INTERACTS_WITH			Domain exclusion
T013	fish	NEG_INTERACTS_WITH			Domain exclusion
T097	prog	NEG_INTERACTS_WITH			Domain exclusion
T101	podg	NEG_INTERACTS_WITH			Domain exclusion
T016	humn	NEG_INTERACTS_WITH			Domain exclusion
T096	grup	NEG_INTERACTS_WITH			Domain exclusion
T011	amph	NEG_INTERACTS_WITH			Domain exclusion
T015	mamm	NEG_INTERACTS_WITH			Domain exclusion
T010	vtbt	NEG_INTERACTS_WITH			Domain exclusion
T014	rept	NEG_INTERACTS_WITH			Domain exclusion
T012	bird	NEG_INTERACTS_WITH			Domain exclusion
T098	popg	NEG_ISA			Domain exclusion
T015	mamm	NEG_ISA			Domain exclusion
T101	podg	NEG_ISA			Domain exclusion
T059	lbpr	NEG_ISA			Domain exclusion
T097	prog	NEG_ISA			Domain exclusion
T096	grup	NEG_ISA			Domain exclusion
T099	famg	NEG_ISA			Domain exclusion
T058	hlca	NEG_ISA			Domain exclusion
T083	geoa	NEG_ISA			Domain exclusion
T041	menp	NEG_ISA			Domain exclusion
T073	mnob	NEG_ISA			Domain exclusion
T091	bmod	NEG_ISA			Domain exclusion
T201	clna	NEG_ISA			Domain exclusion
T054	socb	NEG_ISA			Domain exclusion
T070	npop	NEG_ISA			Domain exclusion
T013	fish	NEG_ISA			Domain exclusion
T065	edac	NEG_ISA			Domain exclusion
T008	anim	NEG_ISA			Domain exclusion
T120	chvf	NEG_ISA			Domain exclusion
T067	phpr	NEG_ISA			Domain exclusion
T012	bird	NEG_ISA			Domain exclusion
T104	chvs	NEG_ISA			Domain exclusion
T090	ocdi	NEG_ISA			Domain exclusion
T014	rept	NEG_ISA			Domain exclusion
T092	orgt	NEG_ISA			Domain exclusion
T093	hcro	NEG_ISA			Domain exclusion
T011	amph	NEG_ISA			Domain exclusion
T057	ocac	NEG_ISA			Domain exclusion
T010	vtbt	NEG_ISA			Domain exclusion
T052	acty	NEG_ISA			Domain exclusion
T053	bhvr	NEG_ISA			Domain exclusion
T051	evnt	NEG_ISA			Domain exclusion
T103	chem	NEG_ISA			Domain exclusion
T094	pros	NEG_ISA			Domain exclusion
T066	mcha	NEG_ISA			Domain exclusion
T016	humn	NEG_LOCATION_OF			Domain exclusion
T015	mamm	NEG_LOCATION_OF			Domain exclusion
T093	hcro	NEG_LOCATION_OF			Domain exclusion
T082	spco	NEG_LOCATION_OF			Domain exclusion
T008	anim	NEG_LOCATION_OF			Domain exclusion
T092	orgt	NEG_LOCATION_OF			Domain exclusion
T010	vtbt	NEG_LOCATION_OF			Domain exclusion
T098	popg	NEG_LOCATION_OF			Domain exclusion
T096	grup	NEG_LOCATION_OF			Domain exclusion
T101	podg	NEG_LOCATION_OF			Domain exclusion
T021	ffas	NEG_LOCATION_OF			Domain exclusion
T099	famg	NEG_LOCATION_OF			Domain exclusion
T095	shro	NEG_LOCATION_OF			Domain exclusion
T073	mnob	NEG_LOCATION_OF			Domain exclusion
T094	pros	NEG_LOCATION_OF			Domain exclusion
T013	fish	NEG_LOCATION_OF			Domain exclusion
T097	prog	NEG_LOCATION_OF			Domain exclusion
T011	amph	NEG_LOCATION_OF			Domain exclusion
T012	bird	NEG_LOCATION_OF			Domain exclusion
T014	rept	NEG_LOCATION_OF			Domain exclusion
T120	chvf	NEG_lower_than			Domain exclusion
T104	chvs	NEG_lower_than			Domain exclusion
T103	chem	NEG_lower_than			Domain exclusion
T062	resa	NEG_lower_than			Domain exclusion
T053	bhvr	NEG_MANIFESTATION_OF			Domain exclusion
T081	qnco	NEG_MEASUREMENT_OF			Domain exclusion
T201	clna	NEG_MEASUREMENT_OF			Domain exclusion
T062	resa	NEG_MEASURES			Domain exclusion
T059	lbpr	NEG_MEASURES			Domain exclusion
T063	mbrt	NEG_MEASURES			Domain exclusion
T081	qnco	NEG_MEASURES			Domain exclusion
T170	inpr	NEG_MEASURES			Domain exclusion
T058	hlca	NEG_MEASURES			Domain exclusion
T070	npop	NEG_MEASURES			Domain exclusion
T059	lbpr	NEG_METHOD_OF			Domain exclusion
T058	hlca	NEG_METHOD_OF			Domain exclusion
T063	mbrt	NEG_METHOD_OF			Domain exclusion
T062	resa	NEG_METHOD_OF			Domain exclusion
T057	ocac	NEG_METHOD_OF			Domain exclusion
T066	mcha	NEG_METHOD_OF			Domain exclusion
T065	edac	NEG_METHOD_OF			Domain exclusion
T064	gora	NEG_METHOD_OF			Domain exclusion
T070	npop	NEG_METHOD_OF			Domain exclusion
T067	phpr	NEG_OCCURS_IN			Domain exclusion
T021	ffas	NEG_PART_OF			Domain exclusion
T201	clna	NEG_PREDISPOSES			Domain exclusion
T062	resa	NEG_PREDISPOSES			Domain exclusion
T041	menp	NEG_PREDISPOSES			Domain exclusion
T081	qnco	NEG_PREDISPOSES			Domain exclusion
T058	hlca	NEG_PREVENTS			Domain exclusion
T104	chvs	NEG_PREVENTS			Domain exclusion
T120	chvf	NEG_PREVENTS			Domain exclusion
T062	resa	NEG_PREVENTS			Domain exclusion
T065	edac	NEG_PREVENTS			Domain exclusion
T041	menp	NEG_PROCESS_OF			Domain exclusion
T054	socb	NEG_PROCESS_OF			Domain exclusion
T080	qlco	NEG_PROCESS_OF			Domain exclusion
T079	tmco	NEG_PROCESS_OF			Domain exclusion
T101	podg	NEG_PRODUCES			Domain exclusion
T098	popg	NEG_PRODUCES			Domain exclusion
T059	lbpr	NEG_PRODUCES			Domain exclusion
T097	prog	NEG_PRODUCES			Domain exclusion
T099	famg	NEG_PRODUCES			Domain exclusion
T096	grup	NEG_PRODUCES			Domain exclusion
T093	hcro	NEG_PRODUCES			Domain exclusion
T021	ffas	NEG_PRODUCES			Domain exclusion
T016	humn	NEG_PRODUCES			Domain exclusion
T092	orgt	NEG_PRODUCES			Domain exclusion
T120	chvf	NEG_same_as			Domain exclusion
T104	chvs	NEG_same_as			Domain exclusion
T103	chem	NEG_same_as			Domain exclusion
T062	resa	NEG_same_as			Domain exclusion
T081	qnco	NEG_same_as			Domain exclusion
T073	mnob	NEG_same_as			Domain exclusion
T080	qlco	NEG_same_as			Domain exclusion
